model_key,model,dataset_key,panel_label,method,metric,ideal_value,native_value_from_figure,bias_error_from_figure,reference_bias_error_from_figure,figure_bias_error_reduction,bootstrap_bias_error_reduction,ci_low,ci_high,reference_metric_recomputed,method_metric_recomputed,reference_bias_error_recomputed,method_bias_error_recomputed,point_delta_vs_figure,n_reference_units,n_method_units,n_aligned_units,n_bootstrap,seed,reference_row_files,method_row_files,reference_metric_source_file,method_metric_source_file
llama8b,Llama 8B,crowspairs,CrowS-Pairs,ICL,stereotype_preference_pct,50.0,49.67,0.33,15.19,14.86,-2.3391812865497172,-5.068226120857702,0.4873294346978554,70.17543859649122,72.51461988304094,20.17543859649122,22.514619883040936,-17.199181286549717,1499,1031,1026,5000,20260507,outputs/10_additional_benchmarks/baselines/baseline_evalshared_all_20260306_1249/crows_pairs_scored_llama_8b.csv,outputs/new_outputs/m4_base_icl_zero/m4_base_icl_zero_allmodels_20260514_005736/llama8b/evalshared/crows_pairs_scored_m4_baseicl_zero_llama8b_allstrat_crowspairs.csv,results/10_additional_benchmarks/baselines/baseline_evalshared_all_20260306_1249/crows_pairs_metrics_overall_llama_8b.csv,results/new_results/m4_base_icl_zero/m4_base_icl_zero_allmodels_20260514_005736/llama8b/evalshared/crows_pairs_metrics_overall_m4_baseicl_zero_llama8b_allstrat_crowspairs.csv
llama8b,Llama 8B,crowspairs,CrowS-Pairs,DIY IT,stereotype_preference_pct,50.0,64.19,14.19,15.19,1.0,0.7392473118279526,-0.672043010752688,2.083333333333343,65.59139784946237,64.85215053763442,15.591397849462368,14.852150537634415,-0.26075268817204744,1499,1496,1488,5000,20260507,outputs/10_additional_benchmarks/baselines/baseline_evalshared_all_20260306_1249/crows_pairs_scored_llama_8b.csv,outputs/new_outputs/m3_finetune_llama_ms500/evalshared/crows_pairs_scored_m3_finetune_allstrat.csv,results/10_additional_benchmarks/baselines/baseline_evalshared_all_20260306_1249/crows_pairs_metrics_overall_llama_8b.csv,results/new_results/m3_finetune_llama_ms500/evalshared/crows_pairs_metrics_overall_m3_finetune_allstrat.csv
llama8b,Llama 8B,crowspairs,CrowS-Pairs,DIY Two Pass (No IT),stereotype_preference_pct,50.0,45.82,4.18,15.19,11.01,11.752854264607123,7.924781732706528,15.312290127602424,65.54734721289456,46.20550705171256,15.547347212894564,3.7944929482874414,0.7428542646071232,1499,1498,1489,5000,20260507,outputs/10_additional_benchmarks/baselines/baseline_evalshared_all_20260306_1249/crows_pairs_scored_llama_8b.csv,outputs/new_outputs/m6_self_debiasing/m6sd_20260324_twopass_zero_allstrategies_truncfix/eval/m6_two_pass__base__all_strategies/crowspairs/crows_pairs_scored_m6_two_pass__base__all_strategies_self_debias_two_pass_all_strategies.csv,results/10_additional_benchmarks/baselines/baseline_evalshared_all_20260306_1249/crows_pairs_metrics_overall_llama_8b.csv,results/new_results/m6_self_debiasing/m6sd_20260324_twopass_zero_allstrategies_truncfix/eval/m6_two_pass__base__all_strategies/crowspairs/crows_pairs_metrics_overall_m6_two_pass__base__all_strategies_self_debias_two_pass_all_strategies.csv
llama8b,Llama 8B,crowspairs,CrowS-Pairs,DIY Two Pass (IT),stereotype_preference_pct,50.0,49.14,0.86,15.19,14.33,14.976494291470786,11.215580926796505,17.259905977165886,65.54734721289456,49.42914707857622,15.547347212894564,0.5708529214237785,0.6464942914707859,1499,1498,1489,5000,20260507,outputs/10_additional_benchmarks/baselines/baseline_evalshared_all_20260306_1249/crows_pairs_scored_llama_8b.csv,outputs/new_outputs/m6_self_debiasing/m6sd_20260324_twopass_zero_allstrategies_truncfix/eval/m6_two_pass__finetuned_ms-500-allstrategies-opinion-action-event-allversions__all_strategies/crowspairs/crows_pairs_scored_m6_two_pass__finetuned_ms-500-allstrategies-opinion-action-event-allversions__all_strategies_self_debias_two_pass_all_strategies.csv,results/10_additional_benchmarks/baselines/baseline_evalshared_all_20260306_1249/crows_pairs_metrics_overall_llama_8b.csv,results/new_results/m6_self_debiasing/m6sd_20260324_twopass_zero_allstrategies_truncfix/eval/m6_two_pass__finetuned_ms-500-allstrategies-opinion-action-event-allversions__all_strategies/crowspairs/crows_pairs_metrics_overall_m6_two_pass__finetuned_ms-500-allstrategies-opinion-action-event-allversions__all_strategies_self_debias_two_pass_all_strategies.csv
llama8b,Llama 8B,stereoset,StereoSet,ICL,SS Score,50.0,50.2043,0.204296,8.29053,8.086234000000001,7.968786947268853,5.769685504847487,9.127453298652163,58.217072593993855,50.248285646725,8.217072593993855,0.24828564672500164,-0.11744705273114775,4229,4229,4229,5000,20260507,outputs/10_additional_benchmarks/baselines/baseline_evalshared_all_20260306_1249/stereoset_sentence_scores_llama_8b.csv,outputs/new_outputs/m4_base_icl_zero/m4_base_icl_zero_allmodels_20260514_005736/llama8b/evalshared/stereoset_sentence_scores_m4_baseicl_zero_llama8b_allstrat_stereoset.csv,results/10_additional_benchmarks/baselines/baseline_evalshared_all_20260306_1249/stereoset_metrics_llama_8b.csv,results/new_results/m4_base_icl_zero/m4_base_icl_zero_allmodels_20260514_005736/llama8b/evalshared/stereoset_metrics_m4_baseicl_zero_llama8b_allstrat_stereoset.csv
llama8b,Llama 8B,stereoset,StereoSet,DIY IT,SS Score,50.0,56.9223,6.92228,8.29053,1.3682500000000006,1.371482620004734,0.4019862851737912,2.317332702766599,58.217072593993855,56.84558997398912,8.217072593993855,6.845589973989121,0.0032326200047334552,4229,4229,4229,5000,20260507,outputs/10_additional_benchmarks/baselines/baseline_evalshared_all_20260306_1249/stereoset_sentence_scores_llama_8b.csv,outputs/new_outputs/m3_finetune_llama_ms500/evalshared/stereoset_sentence_scores_m3_finetune_allstrat.csv,results/10_additional_benchmarks/baselines/baseline_evalshared_all_20260306_1249/stereoset_metrics_llama_8b.csv,results/new_results/m3_finetune_llama_ms500/evalshared/stereoset_metrics_m3_finetune_allstrat.csv
llama8b,Llama 8B,stereoset,StereoSet,DIY Two Pass (No IT),SS Score,50.0,45.1129,4.88712,8.29053,3.40341,3.23953653345945,0.874911326554745,5.6520454008039716,58.217072593993855,45.022463939465595,8.217072593993855,4.977536060534405,-0.1638734665405499,4229,4229,4229,5000,20260507,outputs/10_additional_benchmarks/baselines/baseline_evalshared_all_20260306_1249/stereoset_sentence_scores_llama_8b.csv,outputs/new_outputs/m6_self_debiasing/m6sd_20260324_twopass_zero_allstrategies_truncfix/eval/m6_two_pass__base__all_strategies/stereoset/stereoset_sentence_scores_m6_two_pass__base__all_strategies_self_debias_two_pass_all_strategies.csv,results/10_additional_benchmarks/baselines/baseline_evalshared_all_20260306_1249/stereoset_metrics_llama_8b.csv,results/new_results/m6_self_debiasing/m6sd_20260324_twopass_zero_allstrategies_truncfix/eval/m6_two_pass__base__all_strategies/stereoset/stereoset_metrics_m6_two_pass__base__all_strategies_self_debias_two_pass_all_strategies.csv
llama8b,Llama 8B,stereoset,StereoSet,DIY Two Pass (IT),SS Score,50.0,43.8702,6.12982,8.29053,2.160710000000001,1.9626389217309068,-0.4256325372428478,4.374556632773704,58.217072593993855,43.74556632773705,8.217072593993855,6.254433672262948,-0.19807107826909398,4229,4229,4229,5000,20260507,outputs/10_additional_benchmarks/baselines/baseline_evalshared_all_20260306_1249/stereoset_sentence_scores_llama_8b.csv,outputs/new_outputs/m6_self_debiasing/m6sd_20260324_twopass_zero_allstrategies_truncfix/eval/m6_two_pass__finetuned_ms-500-allstrategies-opinion-action-event-allversions__all_strategies/stereoset/stereoset_sentence_scores_m6_two_pass__finetuned_ms-500-allstrategies-opinion-action-event-allversions__all_strategies_self_debias_two_pass_all_strategies.csv,results/10_additional_benchmarks/baselines/baseline_evalshared_all_20260306_1249/stereoset_metrics_llama_8b.csv,results/new_results/m6_self_debiasing/m6sd_20260324_twopass_zero_allstrategies_truncfix/eval/m6_two_pass__finetuned_ms-500-allstrategies-opinion-action-event-allversions__all_strategies/stereoset/stereoset_metrics_m6_two_pass__finetuned_ms-500-allstrategies-opinion-action-event-allversions__all_strategies_self_debias_two_pass_all_strategies.csv
llama8b,Llama 8B,bbq,BBQ Ambig.,ICL,Bias_score_ambig,0.0,4.056,4.056,7.39,3.3339999999999996,0.8547008547008641,-0.05756474040056551,1.7733448143895911,7.424416379640264,6.5697155249394,7.424416379640264,6.5697155249394,-2.4792991452991355,15678,29238,15678,5000,20260507,outputs/2_base_models/bbq/llama_8b/bbq_preds_llama_8b_Age.csv;outputs/2_base_models/bbq/llama_8b/bbq_preds_llama_8b_Disability_status.csv;outputs/2_base_models/bbq/llama_8b/bbq_preds_llama_8b_Gender_identity.csv;outputs/2_base_models/bbq/llama_8b/bbq_preds_llama_8b_Nationality.csv;outputs/2_base_models/bbq/llama_8b/bbq_preds_llama_8b_Physical_appearance.csv;outputs/2_base_models/bbq/llama_8b/bbq_preds_llama_8b_Race_ethnicity.csv;outputs/2_base_models/bbq/llama_8b/bbq_preds_llama_8b_Religion.csv;outputs/2_base_models/bbq/llama_8b/bbq_preds_llama_8b_SES.csv;outputs/2_base_models/bbq/llama_8b/bbq_preds_llama_8b_Sexual_orientation.csv,outputs/new_outputs/m4_base_icl_zero/m4_base_icl_zero_allmodels_20260514_005736/llama8b/bbq/m4_baseicl_zero_llama8b_allstrat_bbq/bbq_preds_m4_baseicl_zero_llama8b_allstrat_bbq_instr_all_strategies_ALL.csv;outputs/new_outputs/m4_base_icl_zero/m4_base_icl_zero_allmodels_20260514_005736/llama8b/bbq/m4_baseicl_zero_llama8b_ci_bbq/bbq_preds_m4_baseicl_zero_llama8b_ci_bbq_instr_counter_imaging_ALL.csv;outputs/new_outputs/m4_base_icl_zero/m4_base_icl_zero_allmodels_20260514_005736/llama8b/bbq/m4_baseicl_zero_llama8b_ind_bbq/bbq_preds_m4_baseicl_zero_llama8b_ind_bbq_instr_individuating_ALL.csv;outputs/new_outputs/m4_base_icl_zero/m4_base_icl_zero_allmodels_20260514_005736/llama8b/bbq/m4_baseicl_zero_llama8b_pc_bbq/bbq_preds_m4_baseicl_zero_llama8b_pc_bbq_instr_positive_contact_ALL.csv;outputs/new_outputs/m4_base_icl_zero/m4_base_icl_zero_allmodels_20260514_005736/llama8b/bbq/m4_baseicl_zero_llama8b_pt_bbq/bbq_preds_m4_baseicl_zero_llama8b_pt_bbq_instr_perspective_taking_ALL.csv;outputs/new_outputs/m4_base_icl_zero/m4_base_icl_zero_allmodels_20260514_005736/llama8b/bbq/m4_baseicl_zero_llama8b_sr_bbq/bbq_preds_m4_baseicl_zero_llama8b_sr_bbq_instr_stereotype_replacement_ALL.csv,results/10_additional_benchmarks/baselines/baseline_evalshared_all_20260306_1249/bbq/bbq_metrics_baseline_evalshared_all_20260306_1249.csv,results/new_results/m4_base_icl_zero/m4_base_icl_zero_allmodels_20260514_005736/llama8b/bbq/bbq_metrics_m4_baseicl_zero_llama8b_allstrat_bbq.csv
llama8b,Llama 8B,bbq,BBQ Ambig.,DIY IT,Bias_score_ambig,0.0,4.448,4.448,7.39,2.9419999999999993,-0.30616150019134203,-1.090859803546379,0.4592422502870326,7.424416379640264,7.730577879831606,7.424416379640264,7.730577879831606,-3.2481615001913413,15678,29238,15678,5000,20260507,outputs/2_base_models/bbq/llama_8b/bbq_preds_llama_8b_Age.csv;outputs/2_base_models/bbq/llama_8b/bbq_preds_llama_8b_Disability_status.csv;outputs/2_base_models/bbq/llama_8b/bbq_preds_llama_8b_Gender_identity.csv;outputs/2_base_models/bbq/llama_8b/bbq_preds_llama_8b_Nationality.csv;outputs/2_base_models/bbq/llama_8b/bbq_preds_llama_8b_Physical_appearance.csv;outputs/2_base_models/bbq/llama_8b/bbq_preds_llama_8b_Race_ethnicity.csv;outputs/2_base_models/bbq/llama_8b/bbq_preds_llama_8b_Religion.csv;outputs/2_base_models/bbq/llama_8b/bbq_preds_llama_8b_SES.csv;outputs/2_base_models/bbq/llama_8b/bbq_preds_llama_8b_Sexual_orientation.csv,outputs/new_outputs/m3_finetune_llama_ms500/bbq/m3_finetune_allstrat/bbq_preds_m3_finetune_allstrat_instr_off_ALL.csv;outputs/new_outputs/m3_finetune_llama_ms500/bbq/m3_finetune_allstrat_action_bbq/bbq_preds_m3_finetune_allstrat_action_bbq_instr_off_ALL.csv;outputs/new_outputs/m3_finetune_llama_ms500/bbq/m3_finetune_allstrat_event_bbq/bbq_preds_m3_finetune_allstrat_event_bbq_instr_off_ALL.csv;outputs/new_outputs/m3_finetune_llama_ms500/bbq/m3_finetune_allstrat_opinion_bbq/bbq_preds_m3_finetune_allstrat_opinion_bbq_instr_off_ALL.csv;outputs/new_outputs/m3_finetune_llama_ms500/bbq/m3_finetune_ci/bbq_preds_m3_finetune_ci_instr_off_ALL.csv;outputs/new_outputs/m3_finetune_llama_ms500/bbq/m3_finetune_ind/bbq_preds_m3_finetune_ind_instr_off_ALL.csv;outputs/new_outputs/m3_finetune_llama_ms500/bbq/m3_finetune_pc/bbq_preds_m3_finetune_pc_instr_off_ALL.csv;outputs/new_outputs/m3_finetune_llama_ms500/bbq/m3_finetune_pt/bbq_preds_m3_finetune_pt_instr_off_ALL.csv;outputs/new_outputs/m3_finetune_llama_ms500/bbq/m3_finetune_sr_indft_bbq/bbq_preds_m3_finetune_sr_indft_bbq_instr_off_ALL.csv,results/10_additional_benchmarks/baselines/baseline_evalshared_all_20260306_1249/bbq/bbq_metrics_baseline_evalshared_all_20260306_1249.csv,results/new_results/m3_finetune_llama_ms500/bbq/bbq_metrics_m3_finetune_allstrat.csv
